key,venue_name,address1,city,county,postcode,venue_id
Biddenham Pavilion,Biddenham Cricket Club,"Biddenham Pavilion, Deep Spinney",Biddenham,Bedfordshire,MK40 4PZ,866
Southill Park CG,Southill Park Cricket Ground,"Southill Park Estate, Southill",Biggleswade,Bedfordshire,SG18 9LJ,7993
Luton Town & Indians CC,Luton Town and Indians Cricket Club,"Lower Wardown Park, Old Bedford Rd",Luton,Bedfordshire,LU2 7HA,7997
Lower Wardown Park,Lutonian Cricket Club,"Lower Wardown Park, Old Bedford Rd",Luton,Bedfordshire,LU2 7HA,13176
The Bury,Bedford Cricket Club,"The Bury, Church Lane",Bedford,Bedfordshire,MK41 0UZ,New
Lancot Park,Dunstable Town Cricket Club,"Lancot Park, Dunstable Road",Totternhoe,Bedfordshire,LU6 1QP,New
The Hardy Vale,Flitwick Cricket Club,"The Hardy Vale, Flitwick Road",Flitwick,Bedfordshire,MK45 5AA,New
Ickwell Cricket Club,Ickwell Cricket Club,"Ickwell Green, Ickwell",Ickwell,Bedfordshire,SG18 9EF,New
Allens Park,Queens Park Westfield Cricket Club,"Old Ford End Road, Queens Park",Bedford,Bedfordshire,MK40 4LY,New
"The Recreation Ground","Stoke Hammond Sports Club","The Recreation Ground, Bragenham Side",Stoke Hammond,Buckinghamshire,MK17 9DB,New
"Kempston Hammers",Kempston Hammers Cricket Club,"THE CLUB HOUSE,134 High Street",Kempston,Bedfordshire,MK42 7BN,New
"Sharnbrook Cricket Club","Sharnbrook Cricket Club","The Clubhouse, The Playing Field, Lodge Road",Sharnbrook,Bedfordshire,MK44 1JL,New
"Cryselco Park","Kempston Methodists Cricket Club","Cryselco Park, Cryselco Cl",Kempston,Bedfordshire,MK42 7TH,New
"The Warren, Wilstead Road, Elstow, MK42 9YD","Elstow Cricket Club","The Warren Playing Fields, Wilstead Road","Elstow",Bedfordshire,MK42 9YD,New
"Biddenham Pavilion, Deep Spinney, MK40 4QP",Biddenham Cricket Club,"Biddenham Pavilion, Deep Spinney",Biddenham,Bedfordshire,MK40 4PZ,866
"The Bury, Church Lane, Goldington, MK41 0UZ",Bedford Cricket Club,"The Bury, Church Lane",Bedford,Bedfordshire,MK41 0UZ,New
"Southill Park, Southill Estate, near Biggleswade, SG18 9LJ",Southill Park Cricket Ground,"Southill Park Estate, Southill",Biggleswade,Bedfordshire,SG18 9LJ,7993
"The Park","Ampthill Town Cricket Club","The Park, Woburn Road",Ampthill,Bedfordshire,MK45 2HX,New
